Препарат,Сегмент,Месяц,"Продажи, уп",,,,,,,Сегмент,Препарат,"Продажи, уп",,,,,Сегмент,Продажи по сегменту,Доля продаж,,,,,Год,Полугодие,Средние продажи,Продажи
Препарат 2,Сеть,11/1/2022,912,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,Сеть,12/1/2022,228,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,СНГ,2/1/2022,36,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,СНГ,3/1/2022,84,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,СНГ,4/1/2022,24,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,СНГ,6/1/2022,84,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,СНГ,7/1/2022,144,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,СНГ,8/1/2022,72,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,СНГ,11/1/2022,84,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,СНГ,12/1/2022,48,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,FMCG,1/1/2022,216,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,FMCG,2/1/2022,2 952,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,FMCG,3/1/2022,3 216,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,FMCG,4/1/2022,240,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,FMCG,6/1/2022,2 520,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,FMCG,7/1/2022,900,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,FMCG,8/1/2022,3 072,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,FMCG,9/1/2022,1 176,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,FMCG,10/1/2022,984,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,FMCG,11/1/2022,6 516,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,FMCG,12/1/2022,1 092,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Комм,1/1/2022,200,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Комм,2/1/2022,960,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Комм,3/1/2022,1 040,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Комм,4/1/2022,600,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Комм,5/1/2022,440,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Комм,7/1/2022,440,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Комм,8/1/2022,1 200,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Комм,9/1/2022,1 360,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Комм,10/1/2022,120,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Комм,11/1/2022,1 160,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Комм,12/1/2022,2 120,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Сеть,1/1/2022,120,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Сеть,2/1/2022,160,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Сеть,3/1/2022,120,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Сеть,8/1/2022,80,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Сеть,9/1/2022,120,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Сеть,11/1/2022,160,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Сеть,12/1/2022,40,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Комм,1/1/2023,1704,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Комм,2/1/2023,4656,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Комм,3/1/2023,3984,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Комм,5/1/2023,1112,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Комм,6/1/2023,48,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Сеть,1/1/2023,48,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Сеть,2/1/2023,192,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Сеть,3/1/2023,168,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Сеть,4/1/2023,48,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Сеть,5/1/2023,24,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,СНГ,2/1/2023,384,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,СНГ,3/1/2023,600,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,СНГ,4/1/2023,72,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,FMCG,1/1/2023,96,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,FMCG,2/1/2023,288,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,FMCG,3/1/2023,1584,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,FMCG,4/1/2023,12888,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,FMCG,5/1/2023,30000,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,FMCG,6/1/2023,24,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,Комм,1/1/2023,5100,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,Комм,2/1/2023,4380,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,Комм,3/1/2023,3288,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,Комм,4/1/2023,2136,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,Комм,5/1/2023,5208,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,Комм,6/1/2023,3480,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,Сеть,1/1/2023,552,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,Сеть,2/1/2023,204,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,Сеть,3/1/2023,564,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,Сеть,4/1/2023,348,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,Сеть,5/1/2023,24,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,Сеть,6/1/2023,312,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,СНГ,2/1/2023,60,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,СНГ,3/1/2023,12,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,СНГ,4/1/2023,168,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,СНГ,5/1/2023,72,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,СНГ,6/1/2023,36,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,FMCG,1/1/2023,1908,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,FMCG,2/1/2023,312,,,,,,,,,,,,,,,,,,,,,,,,
